,astronaut_id,selection_id,year_of_selection
412,212,NPOE-7,1985
413,212,NPOE-7,1985
414,213,NASA Astronaut Group 9,1980
415,213,NASA Astronaut Group 9,1980
416,214,1984 NASA group 10,1984
417,214,1984 NASA group 10,1984
418,214,1984 NASA group 10,1984
419,214,1984 NASA group 10,1984
420,215,NASA- 9,1980
421,215,NASA- 9,1980
422,215,NASA- 9,1980
423,216,1980 NASA group,1980
424,217,NASA- 9,1980
425,217,NASA- 9,1980
426,218,NASA- 10,1984
427,218,NASA- 10,1984
428,218,NASA- 10,1984
429,219,NASA-9,1980
430,219,NASA-9,1980
431,219,NASA-9,1980
432,219,NASA-9,1980
433,220,NASA- 10,1984
434,220,NASA- 10,1984
435,221,NASA- 10,1984
436,221,NASA- 10,1984
437,222,NASA- 10,1984
438,223,NASA- 10,1984
439,223,NASA- 10,1984
440,223,NASA- 10,1984
441,225,1984 NASA group,1984
442,225,1984 NASA group,1984
443,226,1984 NASA group 10,1984
444,226,1984 NASA group 10,1984
445,226,1984 NASA group 10,1984
446,226,1984 NASA group 10,1984
447,226,1984 NASA group 10,1984
448,226,1984 NASA group 10,1984
449,227,NASA- 10,1984
450,227,NASA- 10,1984
451,227,NASA- 10,1984
452,227,NASA- 10,1984
453,228,NASA- 10,1984
454,228,NASA- 10,1984
455,228,NASA- 10,1984
456,230,NASA- 10,1984
457,230,NASA- 10,1984
458,230,NASA- 10,1984
459,231,1985 NASA group,1985
460,231,1985 NASA group,1985
461,231,1985 NASA group,1985
462,232,GKNII-2 / TsPK-9,1985
463,233,NASA- 11,1985
464,233,NASA- 11,1985
465,233,NASA- 11,1985
466,234,NASA- 12,1987
467,234,NASA- 13,1987
468,235,NASA- 12,1987
469,235,NASA- 12,1987
470,235,NASA- 12,1987
471,236,NASA- 10,1984
472,236,NASA- 10,1984
473,237,NASA- 11,1985
474,237,NASA- 11,1985
475,238,NASA Astronaut Group 11,1985
476,238,NASA Astronaut Group 11,1985
477,239,PS for Astro-1,1984
478,239,PS for Astro-2,1984
479,240,PS for Astro-1,1984
480,240,PS for Astro-1,1984
481,241,GKNII-2 / TsPK-9,1985
482,241,GKNII-2 / TsPK-9,1985
483,242,TBS,1989
484,243,NASA- 10,1984
485,243,NASA- 10,1984
486,244,NASA Astronaut Group 12,1985
487,244,NASA Astronaut Group 13,1985
488,244,NASA Astronaut Group 14,1985
489,245,NASA- 11,1985
490,245,NASA- 11,1985
491,246,NASA Astronaut Group 10,1984
492,246,NASA Astronaut Group 11,1984
493,247,NASA Astronaut Group 12,1987
494,247,NASA Astronaut Group 13,1987
495,247,NASA Astronaut Group 14,1987
496,247,NASA Astronaut Group 15,1987
497,248,NASA- 12,1987
498,248,NASA- 12,1987
499,248,NASA- 12,1987
500,249,1984 NASA group 10,1984
501,249,1984 NASA group 10,1984
502,250,NASA- 11,1985
503,250,NASA- 12,1985
504,250,NASA- 13,1985
505,252,1989 Juno,1989
506,253,NASA Astronaut Group 10,1984
507,253,NASA Astronaut Group 11,1984
508,254,NASA- 11,1985
509,254,NASA- 12,1985
510,254,NASA- 13,1985
511,254,NASA- 15,1985
512,255,Spacelab-4 / SLS-1,1984
513,256,NASA PS,1983
514,257,NASA- 11,1985
515,257,NASA- 11,1985
516,257,NASA- 11,1985
517,257,NASA- 11,1985
518,258,NASA-12,1987
519,258,NASA-12,1987
520,259,Kazakhstan,1991
521,260,Austria,1989
522,261,NASA- 11,1985
523,261,NASA- 12,1985
524,262,1987 NASA group,1987
525,262,1987 NASA group,1987
526,262,1987 NASA group,1987
527,262,1987 NASA group,1987
528,263,NASA-12,1987
529,263,NASA-12,1987
530,264,Terra Scout,1988
531,265,NASA-11,1985
532,265,NASA-11,1985
533,265,NASA-11,1985
534,266,NASA-12,1987
535,266,NASA-12,1987
536,267,1983 NRC Group,1983
537,268,NPOE-6,1984
538,268,NPOE-6,1984
539,269,DLR-3,1990
540,270,NASA- 11,1985
541,270,NASA- 11,1985
542,270,NASA- 11,1985
543,270,NASA- 11,1985
544,271,NASA- 12,1987
545,271,NASA- 12,1987
546,271,NASA- 12,1987
547,271,NASA- 12,1987
548,271,NASA- 12,1987
549,272,ATLAS-1,1985
