name,manufacturer,mass,impulse,thrust,isp,burn_duration,chambers
DF-41-3,ARMT,2800.0,,,,,1.0
M-30,NISST,2781.0,,128.0,265.0,42.0,1.0
RV-A-10,THKX,2700.0,3600.0,157.5,,24.0,1.0
PRD-33,ISKRM,2700.0,,1962.0,,4.5,1.0
Pershing 2 St2,HERC,2600.0,,134.0,279.0,46.0,1.0
N-69C Snark JATO,ABL,2500.0,2300.0,580.0,,4.0,1.0
N-69A Snark JATO,ABL,2500.0,1900.0,470.0,,4.0,1.0
Skybolt,AJSP,2500.0,,164.0,245.0,40.7,1.0
L735(1/3),NISST,2474.0,,115.0,242.9,38.4,1.0
XM-42,HERCR,2400.0,,,,,1.0
9M21,VOTK,2300.0,,,,,1.0
TX-174,THKXM,2269.0,,117.0,,39.0,1.0
NA 803 Soleil,SNPE,2250.0,6460.0,147.0,,44.0,4.0
NA 804,SNPE,2250.0,6460.0,147.0,,44.0,4.0
NA 805,SNPE,2250.0,6460.0,147.0,,44.0,4.0
UM-129A,NISST,2200.0,,77.5,291.0,68.0,1.0
LPC-A1,LPC,2200.0,,690.0,,3.0,1.0
Star 48BV,THKE,2168.0,5801.0,152.0,292.0,84.1,1.0
Star 48V,THKE,2160.0,5801.0,68.8,292.1,84.1,1.0
Star 48B,THKE,2140.0,5801.0,68.7,292.1,84.1,1.0
LPC A-1,LPC,2130.0,2292.0,690.0,,,1.0
Star 48,THKE,2113.0,,67.2,286.0,88.0,1.0
RSA-3-3,HOUW,2048.0,,59.0,298.0,94.0,1.0
GF-02,BWYIC,2050.0,4500.0,29.0,253.9,38.0,1.0
M57A1,HERC,2030.0,4485.0,76.0,276.0,59.0,4.0
Salman,IRGC,2000.0,,,,,1.0
OS-M St 3,LYK,2000.0,,,,,1.0
DPRK-MLRS,KP,2000.0,,,,,1.0
ISRO-CES,ISRO,2000.0,,,,,1.0
CZ-11-3,CALT,2000.0,,,,,1.0
CZ-11-4,CALT,2000.0,,,,,1.0
GF-01A,BWYIC,2000.0,,29.0,230.0,140.0,1.0
Nudol' St 2,ALMAN,2000.0,,,,5.0,1.0
K-15 Stage 2,DRDO,2000.0,,,,,1.0
NP-110,IR,2000.0,,,,,1.0
AUS-51,RAFL,2000.0,,58.0,295.0,92.0,1.0
JL1-4,CALT,2000.0,,,,,1.0
Zeus A,GCR,2000.0,,,,,1.0
KT1-3,ARMT,2000.0,,,,,1.0
SEPR 739,SEPR,1930.0,,170.0,260.0,20.0,1.0
X-251,ABL,1922.0,2700.0,516.0,,5.3,1.0
Trident St 3,UTC,1900.0,,,,,1.0
NA 801,SNPE,1800.0,,190.0,,18.0,1.0
S-520,NISST,1796.0,3984.0,143.2,264.8,28.7,1.0
IRIS,FIATA,1720.0,4580.0,58.0,291.0,79.0,1.0
M-6,ABL,1713.0,1800.0,373.0,,5.2,1.0
M-6 4DS105000,HERCR,800.0,1870.0,470.0,,4.4,1.0
ASLV AS-3,VSSC,1710.0,,90.7,277.0,45.0,1.0
