lv_name,stage_number,stage_name,dummy
Black Brant VI,1,Black Brant VI,no
Rocketsonde,1,Rocketsonde,no
Rocketsonde2,1,Rocketsonde2,no
Arcas,1,Arcas,no
Frangible Arcas,1,Frangible Arcas,no
Super Arcas,1,Super Arcas,no
Excalibur,1,Excalibur,no
Super Loki,1,Super Loki,no
Stable Super Loki,1,Stable Super Loki,no
FalconLaunch,1,FalconLaunch,no
SA-II,1,SA-II,no
ST,1,ST,no
Black Brant VII,1,Black Brant VII,no
Loki,1,Loki,no
Metroc,1,Metroc,no
FTV,1,FTV,no
SEGPRO,1,SEGPRO,no
RH-75,1,RH-75,no
NAL-7,1,NAL-7,no
FFAR,1,Mk7,no
MX-775,1,MX-775,no
Matador,1,Matador,no
Mace,1,Mace,no
Regulus,1,Regulus,no
Regulus II,1,Regulus II,no
Bomarc A,1,Bomarc A,no
Bomarc B,1,Bomarc B,no
Goose,1,Bull Goose,no
Bull Goose,1,Bull Goose,no
GLCM,1,GLCM,no
BLDT,1,BLDT,no
Lark,1,Lark,no
