number,name,original_name,sex,year_of_birth,nationality,background
295,"Schlegel, Hans","Schlegel, Hans",M,1951,DE,C
296,"Currie, Nancy J.","Currie, Nancy J.",F,1958,US,M
297,"Wisoff, Peter J. K.","Wisoff, Peter J. K.",M,1958,US,C
298,"Voss, Janice E.","Voss, Janice E.",F,1956,US,C
299,"Tsibliyev, Vasili",Василий Васильевич Циблиев,M,1954,RU,M
300,"Haigneré, Jean-Pierre","Haigneré, Jean-Pierre",M,1948,FR,M
301,"Newman, James H.","Newman, James H.",M,1956,US,C
302,"Bursch, Daniel W.","Bursch, Daniel W.",M,1957,US,M
303,"Walz, Carl E.","Walz, Carl E.",M,1955,US,M
304,"Searfoss, Richard A.","Searfoss, Richard A.",M,1956,US,M
305,"McArthur, William S., Jr.","McArthur, William S., Jr.",M,1951,US,M
306,"Wolf, David A.","Wolf, David A.",M,1956,US,C
307,"Fettman, Martin Joseph","Fettman, Martin Joseph",M,1956,US,C
308,Yuri Vladimirovich Usachyov,Юрий Владимирович Усачёв,M,1957,RU,M
309,"Sega, Ronald M.","Sega, Ronald M.",M,1952,US,C
310,"Jones, Thomas D.","Jones, Thomas D.",M,1955,US,C
311,"Malenchenko, Yuri",Юрий Иванович Маленченко,M,1961,RU,M
312,"Musabayev, Talgat",Талғат Аманкелдіұлы Мұсабаев,M,1951,RU,M
313,"Halsell, James D., Jr.","Halsell, James D., Jr.",M,1956,US,M
314,"Chiao, Leroy","Chiao, Leroy",M,1960,US,C
315,"Thomas, Donald A.","Thomas, Donald A.",M,1955,US,C
316,"Mukai, Chiaki",向井千秋,F,1952,JP,C
317,"Linenger, Jerry M.","Linenger, Jerry M.",M,1955,US,M
318,"Wilcutt, Terrence W.","Wilcutt, Terrence W.",M,1949,US,M
319,"Smith, Steven L.","Smith, Steven L.",M,1958,US,C
320,"Kondakova, Yelena V.",Елена Владимировна Кондакова,F,1957,RU,C
321,"Tanner, Joseph R.","Tanner, Joseph R.",M,1950,US,C
322,"Clervoy, Jean-François","Clervoy, Jean-François",M,1958,FR,M
323,"Parazynski, Scott E.","Parazynski, Scott E.",M,1961,US,C
324,"Collins, Eileen M.","Collins, Eileen M.",F,1956,US,M
325,"Gregory, William G.","Gregory, William G.",M,1957,US,M
326,"Grunsfeld, John M.","Grunsfeld, John M.",M,1958,US,C
327,"Lawrence, Wendy B.","Lawrence, Wendy B.",F,1959,US,M
328,"Dezhurov, Vladimir N.",Владимир Николаевич Дежуров,M,1962,RU,M
331,"Weber, Mary E.","Weber, Mary E.",F,1962,US,C
332,"Gidzenko, Yuri",Юрий Павлович Гидзенко,M,1962,RU,M
333,"Reiter, Thomas","Reiter, Thomas",M,1958,DE,M
334,"Gernhardt, Michael L.","Gernhardt, Michael L.",M,1956,US,C
335,"Rominger, Kent V.","Rominger, Kent V.",M,1956,US,M
336,"Coleman, Catherine G.","Coleman, Catherine G.",F,1960,US,M
337,"Lopez-Alegria, Michael E.","Lopez-Alegria, Michael E.",M,1958,US,M
340,Chris Hadfield,Chris Hadfield,M,1959,CA,M
341,"Jett, Brent W.","Jett, Brent W.",M,1958,US,M
342,"Scott, Winston E.","Scott, Winston E.",M,1950,US,M
343,"Wakata, Koichi",若田光一,M,1963,JP,C
344,"Barry, Daniel T.","Barry, Daniel T.",M,1953,US,C
345,"Onufrienko, Yuri",Юрий Иванович Онуфриенко,M,1961,RU,M
346,"Horowitz, Scott J.","Horowitz, Scott J.",M,1957,US,M
347,"Cheli, Maurizio","Cheli, Maurizio",M,1959,IT,M
348,"Guidoni, Umberto","Guidoni, Umberto",M,1954,IT,C
349,"Thomas, Andrew S. W.","Thomas, Andrew S. W.",M,1951,AU,C
350,"Linnehan, Richard M.","Linnehan, Richard M.",M,1957,US,C
355,"André-Deshays, Claudie (Haigneré)","André-Deshays, Claudie (Haigneré)",F,1957,FR,C
356,"Lazutkin, Aleksandr",Александр Иванович Лазуткин,M,1957,RU,C
357,"Ewald, Reinhold","Ewald, Reinhold",M,1956,DE,C
358,"Kilrain-Still, Susan L.","Kilrain-Still, Susan L.",F,1961,US,M
359,"Crouch, Roger Keith","Crouch, Roger Keith",M,1940,US,C
360,"Linteris, Gregory Thomas","Linteris, Gregory Thomas",M,1957,US,C
361,"Noriega, Carlos I.","Noriega, Carlos I.",M,1959,US,M
362,"Lu, Edward T.","Lu, Edward T.",M,1963,US,C
363,"Vinogradov, Pavel",Павел Владимирович Виноградов,M,1953,RU,C
364,"Curbeam, Robert L., Jr.","Curbeam, Robert L., Jr.",M,1962,US,M
365,"Robinson, Stephen K.","Robinson, Stephen K.",M,1955,US,C
366,Bjarni Tryggvason,Bjarni Tryggvason,M,1945,CA,C
367,"Bloomfield, Michael J.","Bloomfield, Michael J.",M,1959,US,M
368,"Lindsey, Steven W.","Lindsey, Steven W.",M,1960,US,M
369,"Chawla, Kalpana","Chawla, Kalpana",F,1962,US,C
370,"Doi, Takao",土井隆雄,M,1954,JP,C
373,"Reilly, James F.","Reilly, James F.",M,1954,US,C
374,"Anderson, Michael P.","Anderson, Michael P.",M,1959,US,M
375,"Sharipov, Salizhan",Салижан Шакирович Шарипов,M,1964,RU,M
376,"Eyharts, Léopold","Eyharts, Léopold",M,1957,FR,M
377,"Altman, Scott D.","Altman, Scott D.",M,1959,US,M
378,"Hire, Kathryn P.","Hire, Kathryn P.",F,1959,US,M
379,"Williams, Dafydd Rhys","Williams, Dafydd Rhys",M,1954,CA,C
382,"Gorie, Dominic L.","Gorie, Dominic L.",M,1957,US,M
383,"Kavandi, Janet L.","Kavandi, Janet L.",F,1957,US,C
384,"Padalka, Gennady",Геннадий Иванович Падалка,M,1958,RU,M
385,"Duque, Pedro","Duque, Pedro Francisco",M,1963,ES,C
387,"Sturckow, Frederick W.","Sturckow, Frederick W.",M,1961,US,M
388,"Bella, Ivan","Bella, Ivan",M,1964,SK,M
389,"Husband, Rick D.","Husband, Rick D.",M,1957,US,M
390,"Payette, Julie","Payette, Julie",F,1963,CA,C
391,"Tokarev, Valeri",Валерий Иванович Токарев,M,1952,RU,M
392,"Ashby, Jeffrey S.","Ashby, Jeffrey S.",M,1954,US,M
393,"Kelly, Scott J.","Kelly, Scott J.",M,1964,US,M
395,"Zalyotin, Sergei",Сергей Викторович Залётин,M,1962,RU,M
396,"Williams, Jeffrey N.","Williams, Jeffrey N.",M,1958,US,M
397,"Mastracchio, Richard A.","Mastracchio, Richard A.",M,1960,US,C
398,"Burbank, Daniel C.","Burbank, Daniel C.",M,1961,US,M
399,"Morukov, Boris",Борис Владимирович Моруков,M,1950,RU,C
400,"Melroy, Pamela A.","Melroy, Pamela A.",F,1961,US,M
401,"Polansky, Mark L.","Polansky, Mark L.",M,1956,US,C
